1772,Symposium of Asian Association for Algorithms and Computation,AAAC,CORE2023,C,No,4613,,
1629,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*,Yes,4602,4603,4611
356,Conference on Algorithmic Aspects in Information and Management,AAIM,CORE2023,C,No,4613,,
922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*,Yes,4602,,
882,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,CORE2023,C,No,4612,4613,
145,Applied Computing Conference,ACC,CORE2023,C,No,4601,,
210,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,CORE2023,Australasian C,Yes,4613,,
2295,International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,CORE2023,National,Yes,4613,4604,
167,Asian Conference on Computer Vision,ACCV,CORE2023,B,No,4603,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,No,4607,4608,
211,Australasian Computing Education Conference (ACE),ACE,CORE2023,Australasian B,Yes,4608,,
895,International Conference on Advances in Computer-Human Interactions,ACHI,CORE2023,C,No,4608,,
901,International Conference on Affective Computing and Intelligent,ACII,CORE2023,C,No,4608,,
2188,Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B,Yes,4605,4602,
212,Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Australasian B,Yes,4604,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,Yes,4603,,
196,Association for Computational Linguistics,ACL,CORE2023,A*,Yes,4602,,
2313,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,Yes,4604,,
2174,Asian Conference on Machine Learning,ACML,CORE2023,Unranked,No,4611,,
37,ACM Multimedia,ACMMM,CORE2023,A*,Yes,4603,,
907,International Conference on Applied Cryptography and Network Security,ACNS,CORE2023,B,No,4604,,
216,Australasian Conference on Robotics and Automation,ACRA,CORE2023,Australasian C,Yes,4602,4603,
117,Annual Computer Security Applications Conference,ACSAC,CORE2023,A,Yes,4604,,
189,"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2023,National: USA,No,4606,,
1191,International Conference on Reliable Software Technologies,Ada-Europe,CORE2023,Journal Published,Yes,4612,,
1777,Symposium on Advances in DB and Information Systems,ADBIS,CORE2023,C,Yes,4605,,
219,Australasian Database Conference,ADC,CORE2023,Australasian B,Yes,4605,,
887,International Conference on Advanced Computing and Communications,AdCom,CORE2023,National: India,No,4606,,
1954,Australasian Document Computing Symposium,ADCS,CORE2023,Australasian B,Yes,4605,,
888,International Conference on Advanced Data Mining and Applications,ADMA,CORE2023,C,Yes,4605,4611,
224,Australasian Joint Conference on Artificial Intelligence,AI,CORE2023,Australasian B,Yes,4602,4611,4603
2186,Artificial Intelligence Applications and Innovations,AIAI,CORE2023,C,Yes,4601,4602,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,Yes,46,,
261,Australian Institute of Computer Ethics Conference,AICE,CORE2023,Australasian C,Yes,4608,,
1961,International Conference on Artificial Intelligence in Education,AIED,CORE2023,A,Yes,4601,4608,
151,International Conference on Artificial Intelligence in Medicine,AIME,CORE2023,B,Yes,4601,,
97,Advances in Modal Logic,AiML,CORE2023,B,Yes,4613,,
2162,"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,CORE2023,National: Bulgaria,Yes,4602,4611,
890,International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,CORE2023,B,No,4606,,
222,Australasian Information Security Conference,AISC,CORE2023,Australasian C,Yes,4604,,
2228,"International Conference on Analysis of Images, Social Networks and Texts",AIST,CORE2023,National: Russia,Yes,4602,4603,4605
913,International Conference on Artificial Intelligence and Statistics,AISTATS,CORE2023,A,Yes,4611,4602,
1870,Workshop on Algorithm Engineering and Experiments,ALENEX,CORE2023,A,Yes,4613,,
1447,International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,CORE2023,C,Yes,4606,,
1240,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,CORE2023,C,Yes,4602,,
106,Algorithmic Learning Theory,ALT,CORE2023,B,Yes,4611,,
1966,Australasian Language Technology Workshop,ALTA,CORE2023,Australasian C,Yes,4602,,
1968,American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA,No,4601,,
348,Conference of the Association for Machine Translation in the Americas,AMTA,CORE2023,National/Regional,No,4602,,
2189," International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,Yes,4606,,
358,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,CORE2023,C,Yes,4613,,
175,Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,No,4601,,
159,Asia Pacific Conference on Communications,APCC,CORE2023,C,Yes,4606,,
178,Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2023,Australasian C,No,4605,,
171,ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2023,B,Yes,4612,,
184,Asia-Pacific Network Operations and Management Symposium,APNOMS,CORE2023,C,No,4606,,
349,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,CORE2023,C,No,4602,,
1451,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,CORE2023,A,Yes,4613,,
